date,description,amount,category,type
2025-03-05,Electricity Bill,2300,Electricity,Expense
2025-03-06,Daily Healthcare,1497,Healthcare,Expense
2025-03-09,Daily Miscellaneous,270,Miscellaneous,Expense
2025-03-10,School Fees,8000,School Fees,Expense
2025-03-12,Daily Healthcare,462,Healthcare,Expense
2025-03-15,Freelance Project,8000,Side Income,Income
2025-03-15,Monthly Groceries,3600,Groceries,Expense
2025-03-15,Daily Travel,507,Travel,Expense
2025-03-18,Daily Entertainment,703,Entertainment,Expense
2025-03-21,Daily Miscellaneous,306,Miscellaneous,Expense
2025-03-24,Daily Healthcare,619,Healthcare,Expense
2025-03-27,Daily Miscellaneous,372,Miscellaneous,Expense
2025-03-30,Daily Entertainment,1812,Entertainment,Expense
2025-04-01,Monthly Salary,50000,Salary Income,Income
2025-04-01,House Rent,15000,Rent,Expense
2025-04-03,Daily Healthcare,1056,Healthcare,Expense
2025-04-05,Electricity Bill,2400,Electricity,Expense
2025-04-06,Daily Travel,292,Travel,Expense
2025-04-09,Daily Healthcare,1063,Healthcare,Expense
2025-04-10,School Fees,8000,School Fees,Expense
2025-04-12,Daily Healthcare,1461,Healthcare,Expense
2025-04-15,Monthly Groceries,3800,Groceries,Expense
2025-04-15,Daily Entertainment,525,Entertainment,Expense
2025-04-18,Daily Healthcare,738,Healthcare,Expense
2025-04-21,Daily Healthcare,1018,Healthcare,Expense
2025-04-24,Daily Entertainment,1859,Entertainment,Expense
2025-04-27,Daily Travel,722,Travel,Expense
2025-04-30,Daily Miscellaneous,239,Miscellaneous,Expense
2025-05-01,Monthly Salary,50000,Salary Income,Income
2025-05-01,House Rent,15000,Rent,Expense
2025-05-03,Daily Healthcare,383,Healthcare,Expense
2025-05-05,Electricity Bill,2500,Electricity,Expense
2025-05-06,Daily Healthcare,711,Healthcare,Expense
2025-05-09,Daily Shopping,4370,Shopping,Expense
2025-05-10,School Fees,8000,School Fees,Expense
2025-05-12,Daily Entertainment,1300,Entertainment,Expense
2025-05-15,Monthly Groceries,4000,Groceries,Expense
2025-05-15,Daily Travel,514,Travel,Expense
2025-05-18,Daily Miscellaneous,500,Miscellaneous,Expense
2025-05-21,Daily Shopping,1670,Shopping,Expense
2025-05-24,Daily Entertainment,1619,Entertainment,Expense
2025-05-27,Daily Entertainment,1520,Entertainment,Expense
2025-05-30,Daily Healthcare,618,Healthcare,Expense
2025-06-01,Monthly Salary,50000,Salary Income,Income
2025-06-01,House Rent,15000,Rent,Expense
2025-06-03,Daily Entertainment,1371,Entertainment,Expense
2025-06-05,Electricity Bill,2600,Electricity,Expense
2025-06-06,Daily Healthcare,827,Healthcare,Expense
2025-06-09,Daily Healthcare,1201,Healthcare,Expense
2025-06-10,School Fees,8000,School Fees,Expense
2025-06-12,Daily Healthcare,1178,Healthcare,Expense
2025-06-15,Freelance Project,11000,Side Income,Income
2025-06-15,Monthly Groceries,4200,Groceries,Expense
2025-06-15,Daily Travel,517,Travel,Expense
2025-06-18,Daily Travel,474,Travel,Expense
2025-06-21,Daily Shopping,4430,Shopping,Expense
2025-06-24,Daily Entertainment,815,Entertainment,Expense
2025-06-27,Daily Healthcare,1015,Healthcare,Expense
2025-06-30,Daily Miscellaneous,456,Miscellaneous,Expense
2025-07-01,Monthly Salary,50000,Salary Income,Income
2025-07-01,House Rent,15000,Rent,Expense
2025-07-03,Daily Travel,761,Travel,Expense
2025-07-05,Electricity Bill,2700,Electricity,Expense
2025-07-06,Daily Miscellaneous,386,Miscellaneous,Expense
2025-07-09,Daily Miscellaneous,265,Miscellaneous,Expense
2025-07-10,School Fees,8000,School Fees,Expense
2025-07-12,Daily Miscellaneous,268,Miscellaneous,Expense
2025-07-15,Monthly Groceries,4400,Groceries,Expense
2025-07-15,Daily Miscellaneous,299,Miscellaneous,Expense
2025-07-18,Daily Travel,738,Travel,Expense
2025-07-21,Daily Healthcare,306,Healthcare,Expense
2025-07-24,Daily Miscellaneous,313,Miscellaneous,Expense
2025-07-27,Daily Entertainment,1841,Entertainment,Expense
2025-07-30,Daily Entertainment,1025,Entertainment,Expense
2025-08-01,Monthly Salary,50000,Salary Income,Income
2025-08-01,House Rent,15000,Rent,Expense
2025-08-03,Daily Miscellaneous,471,Miscellaneous,Expense
2025-08-05,Electricity Bill,2800,Electricity,Expense
2025-08-06,Daily Shopping,3540,Shopping,Expense
2025-08-09,Daily Entertainment,603,Entertainment,Expense
2025-08-10,School Fees,8000,School Fees,Expense
2025-08-12,Daily Entertainment,1449,Entertainment,Expense
2025-08-15,Monthly Groceries,4600,Groceries,Expense
2025-08-15,Daily Healthcare,1382,Healthcare,Expense
